Time(s), CPU%, Memory(MB)
1750803095.646988, 0.1, 55.71875
1750803096.650552, 0.1, 55.71875
1750803097.657185, 0.1, 55.71875
1750803098.660581, 0.1, 55.71875
1750803099.6640372, 0.1, 55.71875
1750803100.667798, 0.1, 55.71875
1750803101.674453, 0.1, 55.71875
1750803102.6786292, 0.1, 55.71875
1750803103.6861749, 0.1, 55.71875
1750803104.689541, 0.1, 55.71875
1750803105.693768, 0.1, 55.71875
1750803106.6992059, 0.1, 55.71875
1750803107.7046778, 0.1, 55.71875
1750803108.714274, 0.2, 55.71875
1750803109.71788, 0.1, 55.71875
1750803110.722594, 0.1, 55.71875
1750803111.730208, 0.1, 55.71875
1750803112.7443578, 0.1, 55.71875
1750803113.747906, 0.1, 55.71875
1750803114.759118, 0.1, 55.71875
1750803115.764129, 0.1, 55.71875
1750803116.767061, 0.1, 55.71875
1750803117.772356, 0.1, 55.71875
1750803118.775931, 0.1, 55.71875
1750803119.7837398, 0.1, 55.71875
1750803120.794613, 0.1, 55.71875
1750803121.797708, 0.1, 55.71875
1750803122.801173, 0.1, 55.71875
1750803123.808327, 0.2, 55.71875
1750803124.817665, 0.1, 55.71875
1750803125.821619, 0.1, 55.71875
1750803126.8261209, 0.1, 55.71875
1750803127.829785, 0.1, 55.71875
1750803128.837377, 0.2, 55.71875
1750803129.843425, 0.1, 55.71875
1750803130.847392, 0.1, 55.71875
1750803131.8512158, 0.1, 55.71875
1750803132.854591, 0.1, 55.71875
1750803133.8600519, 0.1, 55.71875
1750803134.863748, 0.1, 55.71875
1750803135.8688052, 0.1, 55.71875
1750803136.872603, 0.1, 55.71875
1750803137.877014, 0.1, 55.71875
1750803138.883523, 0.2, 55.71875
1750803139.888107, 0.1, 55.71875
1750803140.891169, 0.1, 55.71875
1750803141.895942, 0.1, 55.71875
1750803142.900102, 0.1, 55.71875
1750803143.9048162, 0.1, 55.71875
1750803144.910114, 0.1, 55.71875
1750803145.920032, 0.1, 55.71875
1750803146.925897, 0.1, 55.71875
1750803147.930037, 0.1, 55.71875
1750803148.936733, 0.1, 55.71875
1750803149.941321, 0.1, 55.71875
1750803150.9486349, 0.1, 55.71875
1750803151.95446, 0.1, 55.71875
1750803152.959321, 0.1, 55.71875
1750803153.970268, 0.1, 55.71875
1750803154.976524, 0.2, 55.71875
1750803155.980292, 0.1, 55.71875
1750803156.984895, 0.1, 55.71875
1750803157.988051, 0.1, 55.71875
1750803158.992647, 0.1, 55.71875
1750803159.9980989, 0.1, 55.71875
1750803161.005554, 0.1, 55.71875
1750803162.0110981, 0.1, 55.71875
1750803163.0178869, 0.1, 55.71875
1750803164.021926, 0.1, 55.71875
1750803165.025331, 0.1, 55.71875
1750803166.030024, 0.1, 55.71875
1750803167.034407, 0.1, 55.71875
1750803168.038543, 0.1, 55.71875
1750803169.0421069, 0.1, 55.71875
1750803170.0477881, 0.1, 55.71875
1750803171.053298, 0.1, 55.71875
1750803172.061172, 0.1, 55.71875
1750803173.0680928, 0.1, 55.71875
1750803174.0773299, 0.1, 55.71875
1750803175.081953, 0.0, 55.71875
1750803176.084306, 0.1, 55.71875
1750803177.088096, 0.1, 55.71875
1750803178.0935402, 0.1, 55.71875
1750803179.1054678, 0.1, 55.71875
1750803180.118397, 0.2, 55.71875
1750803181.121069, 0.1, 55.71875
1750803182.125616, 0.1, 55.71875
1750803183.129641, 0.1, 55.71875
1750803184.140574, 0.1, 55.71875
1750803185.145298, 0.1, 55.71875
1750803186.1498518, 0.1, 55.71875
1750803187.153624, 0.1, 55.71875
1750803188.161031, 0.1, 55.71875
1750803189.164505, 0.1, 55.71875
1750803190.166703, 0.1, 55.71875
1750803191.1710389, 0.1, 55.71875
1750803192.173495, 0.1, 55.71875
1750803193.1785548, 0.1, 55.71875
1750803194.18261, 0.1, 55.71875
1750803195.189303, 0.1, 55.71875
1750803196.199702, 0.1, 55.71875
1750803197.205696, 0.1, 55.71875
1750803198.209287, 0.1, 55.71875
1750803199.212797, 0.1, 55.71875
1750803200.220472, 0.1, 55.71875
1750803201.226337, 0.1, 55.71875
1750803202.232979, 0.1, 55.71875
1750803203.2396019, 0.1, 55.71875
1750803204.243582, 0.1, 55.71875
1750803205.2469702, 0.1, 55.71875
1750803206.250261, 0.1, 55.71875
1750803207.254498, 0.1, 55.71875
1750803208.2582982, 0.1, 55.71875
1750803209.2675068, 0.1, 55.71875
1750803210.269763, 0.1, 55.71875
1750803211.275191, 0.1, 55.71875
1750803212.280082, 0.1, 55.71875
1750803213.285572, 0.1, 55.71875
1750803214.293483, 0.1, 55.71875
1750803215.297458, 0.1, 55.71875
1750803216.301924, 0.1, 55.71875
1750803217.306018, 0.2, 55.71875
1750803218.308925, 0.1, 55.71875
1750803219.322222, 0.1, 55.71875
